sentence,emo
Я загубив свій новий телефон,0
Хлопець розбив батькову машину на польських номерах,0
Дівчина не склала іспит,0
Мій алгоритм машинного навчання не працює,0
Нова гра не запускається на комп'ютері,0
Її подруга прийшла в такій же сукні,0
Лектор забув слова посеред доповіді,0
Він забув пароль до свого профілю,0
Грабіжник вкрав всі заощадження,0
Сусід забув закрити кран і затопив весь будинок,0
Перукар зробив жахливу зачіску,0
Забув парасолю вдома і почалась злива,0
Зламав ногу посеред забігу,0
Заплакала і знов фіалка розцвіла.,0
"Я теж через таке пройшла, і це було складно.",0
Я плачу…,0
Моє серце розбили,0
Давайте ревіти всі разом.,0
Мені ну дуже сумно,0
Осінь і мені сумно.,0
"Так сумно, не можу нічого зробити",0
Піду плакати в подушку,0
Я ридаю,0
Дуже сильно обідився,0
Я дуже засмучений,0
Я програв всі гроші в карти,0
Фільм був дуже сумний,0
Піду до себе в кімнату плакати,0
Я плакав цілий вечір,0
Я програв,0
світ такий не справедливий,0
Вимоги помінялись,0
"Я вас люблю, котики",3
Це було найкраще побачення в світі,3
Любов в повітрі,3
Від любові до ненависті один крок,3
Ромео любить Джульєтту,3
"Я люблю, що він такий романтик",3
Романтичне побачення - це про мій вечір сьогодні.,3
Любов - це проводити її до дому,3
"10 причин, чому я її люблю",3
Я обожнюю Львів.,3
Щоденники Вампіра мій улюблений серіал.,3
Я люблю прокидатися зранку і йти кудись зустрічати світанок.,3
Я тебе кохаю,3
Я тебе люблю,3
Люблю їсти,3
Люблю бігати зранку,3
Скільки любові,3
Ти прекрасна!,3
Обожнюю тебе),3
Найкраще в світі - це кава зранку.,3
Люблю такі зустрічі,3
"Прекрасна погода, давай зустрінемось?",3
"Люблю коли зранку сонячно
",3
Ти моє все,3
"Я тебе люблю, сонечко",3
Я закохався по вуха,3
"Моя любов до тебе, як свічка довжиною в життя",3
Я люблю своє місто,3
Мене добозичливо зустріли,3
Люблю цей колір,3
Закохані не помічають недоліків,3
"Злив туалет, прощай какашка",4
"Мені страшно, що не витримаю до туалету",4
Котлета була спорчена,4
Фільм був дуже страшний,4
Я поснідав в столовій,4
Люблю кефір з квашеними огірками,4
 Моє життя говно,4
Вчора мене пограбували,4
Ця піца смакує як какашки,4
Наступив в какашку,4
Це якийсь жах.,4
"Не сервіс, а какашка.",4
Неочікувано сталась неприємність,4
Обслуговування жахливе,4
Ненавижу цю страву,4
Чому все так погано тут,4
Цілий ранок був понос,4
Туалет був забитий,4
Не люблю цей готель,4
Мені погано,4
Цей день був жахливий,4
Фільм був жахливий,4
Сценарій фільму не цікавий,4
Я застарий для цього лайна,4
У вас жахливий сервіс,4
Ненавижу такі заклади,4
Не люблю такі фільми,4
Туалет зайнятий,4
Тут дуже брудно,4
Жахлива дорога,4
Дуже поганий колір,4
Назавжди в моєму серці,3
Дякую за щастя,3
Любляче серце - це справжня мудрість,3
Назавжди віддала своє серце цьому місту,3
Вогонь мого серця,3
Дуже смачно і атмосферно,3
Залишусь поряд навіть якщо ти будеш проганяти,3
"Лол, смішно",2
Я помираю зі сміху.,2
"Це так смішно, що я плачу.",2
Ахахахахахахахахха ахахахах ахахха.,2
Угораю,2
Смішний анекдот,2
Та ти комік,2
Цей жарт дуже смішний,2
ржу не могу,2
смішне відео,2
було дуже весело,2
Я сміявся весь вечір,2
Ледь не тріснув зі сміху,2
Ми ржали як коні,2
дуже смішна картина,2
Сміялися весь вечір,2
Його жарти дуже смішні,2
Я переглянув декілька дуже смішних відео,2
Лол вхвхвхвх,2
"Смішно, ахах",2
Я помираю зі сміху,2
Мене це дістало!,1
Я ненавиджу цей МакДональдс,1
"В мене вкрали всі гроші, я жахливо зла",1
Досить мене перебивати!,1
"Ти мене дістав, ми розходимось",1
Я ненавиджу ананаси на піці,1
"Це неможливо, скільки можна запізнюватися!",1
"Терпіти не можу, коли сусіди грають на фортепіано вночі.",1
Ненавиджу тебе!,1
Скільки можна!,1
"Я дуже зла, він знову не прийшов",1
Він злий на весь світ,1
Злість - непереборне відчуття,1
Ненавиджу егоїстів,1
"Достатньо цих відмазок, я зла",1
Дістали ви мене,1
ненавижу цей фільм,1
Жахливий готель,1
Чому я?,1
Та Скільки можна так робити,1
Я злий на тебе,1
Чому ви всі такі злі на тебе,1
Це лайно,1
Лайно ці ваші промови,1
Я занадто старий для цього лайна,1
В трапезній занадто багато жиру,1
Цей заклад був жахливий,1
"Навіщо платити гроші за сервіс, якщо персонал себе так поводить?",1
Щоб ти скис,1
Біле чи червоне?,5
Цей випускник Університету є одним з 24 жінок майстер Sommeliers в країні,5
